Organization Name,Partner Type,County,City,Industry Sector,Entrepreneur Demographic Group,Business Stage,Reporting Month,Businesses Supported,New Businesses Started,Jobs Created,Jobs Retained,Capital Raised,Grants Awarded,Loans Facilitated,Referrals Made,Programs Delivered,Entrepreneurs Served,Mentor Hours,Data Completeness Score,Data Source,Last Updated Date
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Healthcare,Youth (Under 30),Startup,2024-06,67,11,43,57,468248,76366,101579,46,3,85,176,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Retail,Other,Scaling,2024-06,51,7,32,37,427135,92652,159943,27,1,72,209,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Construction,Minority-Owned,Startup,2024-06,12,1,7,10,119689,24634,47010,9,1,23,56,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Technology,Rural,Idea,2024-06,33,5,12,13,305355,61106,59441,23,3,55,202,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Other,Early Growth,2024-06,53,7,17,26,553619,67748,133281,51,5,90,269,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Food & Beverage,Minority-Owned,Startup,2024-06,38,6,11,15,1612498,246730,593573,36,1,68,182,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Construction,Other,Scaling,2024-06,30,4,14,15,180488,18808,52067,23,2,42,89,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Retail,Women-Owned,Idea,2024-06,18,1,13,17,85683,16668,29659,8,1,24,92,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Construction,Women-Owned,Idea,2024-06,16,3,8,10,312142,38035,61772,12,1,25,83,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Creative / Media,Veteran-Owned,Established,2024-06,17,1,11,16,41180,4886,13934,7,2,23,65,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Retail,Women-Owned,Established,2024-06,7,0,4,4,0,0,0,5,4,10,22,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Logistics,Women-Owned,Early Growth,2024-06,31,3,13,10,427683,86206,155178,19,3,43,121,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Manufacturing,Youth (Under 30),Startup,2024-06,5,0,8,6,0,0,0,3,2,8,18,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Veteran-Owned,Early Growth,2024-06,6,0,5,6,0,0,0,2,2,8,22,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Retail,Minority-Owned,Startup,2024-06,14,3,17,20,144860,39927,31306,11,2,23,88,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Manufacturing,Other,Startup,2024-06,22,2,15,15,94767,17504,20770,13,3,31,112,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Technology,Minority-Owned,Startup,2024-06,15,2,8,6,167294,44653,49456,6,3,21,78,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Healthcare,Veteran-Owned,Idea,2024-06,25,5,31,30,1771692,321164,540659,12,1,34,117,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Healthcare,Other,Startup,2024-06,45,9,16,22,982126,257464,212828,23,3,60,210,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Veteran-Owned,Idea,2024-06,17,2,7,10,132521,36161,51911,8,1,23,45,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Food & Beverage,Minority-Owned,Scaling,2024-07,17,3,15,23,146016,27292,48497,8,3,25,54,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Veteran-Owned,Scaling,2024-07,56,5,23,27,494815,68980,127575,51,3,95,365,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Professional Services,Youth (Under 30),Idea,2024-07,16,2,7,7,188370,52849,57241,8,2,26,100,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Food & Beverage,Veteran-Owned,Idea,2024-07,47,8,28,32,934292,230949,294033,32,2,64,222,66,Airtable Base,2026-05-22
